,brand,current_price,old_price,discount,description,ratings,times_reviewed,ROM,RAM,mAh,camera,total_camera,screen_size(inch),star
407,Samsung,129990,240000,46,Galaxy Note 8 6.3'' QHD Smartphone (6GB+64GB) 12MP Android Phone-Gold,100,1,64.0,6.0,,12MP,12.0,6.3,5.0
408,Letv,32400,94195,66,"Letv Letv Le 2 X526 3GB RAM 64GB ROM 5.5"" FHD Qualcomm Snapdragon 652 1.8GHz Octa Core 4G LTE Smartphone",60,3,64.0,3.0,,,21.0,5.5,3.0
409,Tecno,61550,65000,5,"Pouvoir 3 Plus, 6.35"" Amoled (64GB ROM+ 4GB RAM) , (13MP + 8MP + 2MP)+13MP FF, 6000mAh, 4G LTE,  - Champagne Gold",20,1,64.0,4.0,6000.0,13MP+8MP+2MP+13MP,36.0,6.35,1.0
410,LG,65999,65999,0,V20 F800 Quad Core 5.7'' 4GB+64GB 16MP LTE Android Single SIM - Black,95,4,64.0,4.0,,16MP,16.0,5.7,5.0
411,Blackview,27590,39457,30,"A30 3G 5.5"" 2GB RAM + 16GB ROM Android 8.1 2500mAh Battery - Gold",100,1,16.0,2.0,2500.0,,21.0,5.5,5.0
412,Ulefone,49320,70457,30,"Armor X5 Rugged Phone, 3GB+32GB, 5.5 Inch Android 9.0, 5000mAh Battery, 4G Smartphone - Orange",100,2,32.0,3.0,5000.0,,21.0,5.5,5.0
413,Nokia,89999,89999,0,X5 5.86 Inch HD+ 4GB RAM 64GB ROM 13MP + 8MP Android 8.1 4G LTE Smartphone Dual Sim  - Blue,80,2,64.0,4.0,,13MP+8MP,21.0,5.86,4.0
414,Nokia,30000,35000,14,"2.1 5.5-inch HD Display 8GB, 1GB RAM  (8MP + 5MP) Dual Sim 4000mAh - Blue Copper",100,1,8.0,1.0,4000.0,8MP+5MP,13.0,5.5,5.0
415,Samsung,120000,120000,0,"Galaxy A50s 6.4-Inch (4GB,128GB ROM) Android 9 Pie, (48MP+5MP+ 8MP) + 32MP 4G Dual SIM - Prism Crush White",100,1,128.0,4.0,,48MP+5MP+8MP+32MP,93.0,6.4,5.0
416,Ulefone,176500,245700,28,"Armor 7 Rugged Phone, 8GB+128GB, 6.3 Inch Android 9.0 4G Smartphone - Black",80,1,128.0,8.0,,,21.0,6.3,4.0
417,Gionee,198888,198888,0,M6 FHD 5.5-Inch AMOLED 4GB RAM+128GB ROM 13MP + 8MP Dual SIM 4G  Gold 128GB,50,2,128.0,4.0,,13MP+8MP,21.0,5.5,2.5
418,Motorola,42999,61999,31,Moto G6 Green Pomelo 1S XT1925 Smartphone 5.7 Inch 18:9 4GB+64GB 3000mAh-Blue,80,1,64.0,4.0,3000.0,,21.0,5.7,4.0
419,M Horse,50116,50116,0,PURE 2 5.99 Inch Mobile Phone Octa Core 4GB+64GB 13MP+2MP Fingerprint -Black,60,1,64.0,4.0,,13MP+2MP,15.0,5.99,3.0
420,Gionee,47000,120000,61,M6 Gn8003 5.5-Inch 4GB RAM+64GB+128GB ROM 5000mAh 13MP + 8MP Dual SIM 4G Gold,60,1,64.0,4.0,5000.0,13MP+8MP,21.0,5.5,3.0
421,Samsung,140000,140000,0,"Galaxy A9 (2018) 6.3-Inch SAmoled (6GB, 128GB ROM),Android 8.0 Oreo, Quad Rear Cameras (24MP + 5MP + 10MP + 8MP) + 24MP ,4G LTE Dual SIM Smartphone - Bubblegum Pink",92,10,128.0,6.0,,24MP+5MP+10MP+8MP+24MP,71.0,6.3,5.0
422,Huawei,57299,81899,30,Mate 8 Used Smartphone (4GB RAM 64GB ROM) 90% New Andorid 6.0 1080X1920 Pixels 4000mAh-Gold,100,1,64.0,4.0,4000.0,,21.0,6.0,5.0
423,Huawei,65900,95900,31,"P8 Max 6.8"" Inch 4G LTE Mobile Phone Kirin 935 Android  IPS 1920X1080 3GB RAM 32GB ROM 13.0MP -Gold",60,1,32.0,3.0,,13.0MP,13.0,6.8,3.0
424,Cubot,35990,71955,50,"H3 5.0 Inch (3GB RAM 32GB ROM), 13.0MP + 0.3MP Android 7.0 6000mAh Battery 4G Smartphone-GOLDEN",20,1,32.0,3.0,6000.0,13.0MP+0.3MP,16.0,5.0,1.0
425,Gionee,51351,97296,47,M7 Power 6 Inch 4GB RAM 64GB ROM 13MP+8MP Hybrid Dual SIM Android 7.1 4G LTE Smartphone 5000mAh,80,1,64.0,4.0,5000.0,13MP+8MP,21.0,6.0,4.0
426,XIAOMI,113284,161996,30,"Mi 9T, 4G, 6.39 Inch (6GB RAM + 128GB ROM) Octa Core, 48.0MP + 13.0MP + 8.0MP Rear Camera - Blue",92,26,128.0,6.0,,48.0MP+13.0MP+8.0MP,69.0,6.39,5.0
427,Oppo,138892,143000,3,"Realme X2 8GB+128GB 6.4"" 64MP Quad+32MP Front Cameras Snapdragon 730G Octa Core Fast Charging 30W 4000mAh-Blue",100,1,128.0,8.0,4000.0,64MP+32MP,96.0,6.4,5.0
428,Gionee,30300,125405,76,S10C 5.2 Inch HD 4GB RAM 32GB ROM 16MP+13MP Hybrid Dual SIM 4G LTE Smartphone 3100mA,40,1,32.0,4.0,,16MP+13MP,29.0,5.2,2.0
429,Huawei,66900,96900,31,Honor 8 Lite 4GB 64GB Mobile Phone Andriod Core 5.2inch 1920*1080P Rear 12.0MP -Blue,100,1,64.0,4.0,,12.0MP,12.0,5.2,5.0
430,Gionee,39999,45000,11,"S11 Lite 5.7-Inch HD (4GB,64GB ROM) Android 7.1 (13MP + 2MP) + 16MP Dual SIM 4G LTE Fingerprint ID- Gold + Free Gift",80,1,64.0,4.0,,13MP+2MP+16MP,31.0,5.7,4.0
431,XIAOMI,69999,69999,0,"Redmi Note 7 6.3-Inch FHD (3GB, 32GB ROM) Android 9.0 (Pie) (48MP + 5MP) + 13MP 4G Face & Fingerprint ID - Blue",94,3,32.0,3.0,,48MP+5MP+13MP,66.0,6.3,5.0
432,Tecno,45990,75000,39,"Spark 4(KC8),6.53Inch Android 9pie,13MP Tripple Al Camera, 4000mAh, VACATION BLUE",80,1,32.0,4.0,4000.0,13MP,13.0,6.53,4.0
433,Blackview,164120,234457,30,"BV9500 Pro Rugged Phone, 6GB+128GB, 5.7 Inch Android 8.1, Walkie-talkie, 10000mAh Battery, 4G Smartphone - Green",100,1,128.0,6.0,10000.0,,21.0,5.7,5.0
434,Tecno,58500,60000,3,"Camon 12 6.52-Inch (4GB, 64GB ROM) Android 9.0 (Pie), (16MP+8MP+2MP) + 16MP Dual SIM 4G LTE Smartphone- DAWN BLUE",100,2,64.0,4.0,,16MP+8MP+2MP+16MP,42.0,6.52,5.0
435,Huawei,107280,153257,30,"MediaPad T3 10 AGS-L09, 9.6 Inch, 3GB+32GB Official Global ROM, EMUI 5.1(Gold)",80,1,32.0,3.0,,,21.0,9.6,4.0
436,Hoot,25270,50540,50,"X21 6.1"" HD 18:9 LCD Display 2G+16G 1320x720 Smartphone Mobile Phone Dual SIM-Gold",64,12,16.0,2.0,,,21.0,6.1,3.5
437,Cool Pad,30490,36790,17,Mega 5 5.7 Inch HD+ 3GB RAM 32GB 13MP + 5MP Android 8.1 4G LTE Smartphone Dual Sim 3000Mah - Gold,100,1,32.0,3.0,3000.0,13MP+5MP,18.0,5.7,5.0
438,Melrose,28600,33000,13,S9 (New Version) Mini 4G Smartphone Android 7.0 Quad Core 1GB+8GB 1580mAh Mobile Phone - Black,100,2,8.0,1.0,1580.0,,21.0,6.0,5.0
439,Gionee,34500,34500,0,"M6 Mini 5.45-Inch HD (1GB RAM + 16GB ROM) 5MP Selfie + 8MP Rear Camera, 4000mAh Smartphone - Blue",79,64,16.0,1.0,4000.0,5MP+8MP,13.0,5.45,4.0
440,Huawei,42506,82000,48,Honor 8A 3+32GB 6.09 Inch Face Unlock Smartphone 3020mAh - Red,100,1,32.0,3.0,3020.0,,21.0,6.09,5.0
441,Sony,43900,46900,6,Xperia Z5 Phone RAM 3GB ROM 32GB 4G LTE Android Octa Core 5.2 Inch 23MP Camera -Green,100,1,32.0,3.0,,23MP,23.0,5.2,5.0
442,Gionee,53300,199000,73,"M6 Plus(4GB RAM +64GB ROM ,8MP+16MP Camera, 6020mAh Battery, Dual SIM 4G, 6 Inch FHD Display)-Gold",50,6,64.0,4.0,6020.0,8MP+16MP,24.0,6.0,2.5
443,Huawei,210000,210000,0,Y7 Pro 2019 Mobile Phone 6.26inch TFT LCD 4GB RAM 64GB ROM 16MP+2+13MP+2MP Purple Blue/ Black,100,1,64.0,4.0,,16MP+13MP+2MP,31.0,6.26,5.0
444,XIAOMI,23499,36699,36,Redmi Note 3 Used 2GB RAM+16GB ROM 4G LTE 90% New Used Smartphone 5.5 Inch Screen Face Detection-Gold,80,2,16.0,2.0,,,21.0,5.5,4.0
445,Tecno,55000,55000,0,"Camon CM-5.7inch HD,Android 7.0,(4GLTE),Daul Nano Sim,13mp Front And 13mp Back Camera, 2GB RAM+16GB ROM,Battery 3000mAh- City Blue",96,5,16.0,2.0,3000.0,13mp+13mp,26.0,5.7,5.0
446,Nokia,62500,103643,40,"X5 - 5.86-Inch HD+ (3GB RAM + 32GB ROM) Android 8.1, (13.0MP + 5.0MP) + 8.0MP, 4G LTE Smartphone",87,762,32.0,3.0,,13.0MP+5.0MP+8.0MP,26.0,5.86,4.5
447,Huawei,50660,65858,23,4G Smartphone 5.2 Inch Android 5.1 Octa Core 1.5GHz 3GB RAM 32GB ROM Fingerprint Sensor – BLUE,100,2,32.0,3.0,,,21.0,5.2,5.0
448,Vernee,53856,107712,50,5.5 Inch 18:9 Bezel-less Full Screen Smartphone 3GB RAM 16GB ROM Mobile Phone Android 8.1 MTK6739 Quad Core 4080mAh 13MP Dual Rear Cameras 4G LTE Cellphone,100,2,16.0,3.0,4080.0,13MP,13.0,5.5,5.0
449,Nokia,0,19000,53,215 Cellphone 2.4'' Single Dual SIM 0.3MP 2G GSM 900 / 1800,60,2,32.0,4.0,,0.3MP,3.0,2.4,3.0
450,Cubot,25399,29999,15,"R9 5-Inch (2GB, 16GB ROM) Android 7.0 Nougat, 13MP + 5MP 3G Smartphone - Blue",75,48,16.0,2.0,,13MP+5MP,18.0,5.0,4.0
451,Samsung,111200,111200,0,"Galaxy A30s 6.4-Inch (4GB,64GB ROM) Android 9.0, (25MP+8MP+5MP)+ 16MP Dual SIM 4000mAh 4G LTE - Prism Crush White",80,1,64.0,4.0,4000.0,25MP+8MP+5MP+16MP,54.0,6.4,4.0
452,Gionee,48757,206815,76,M6 5.5'HD 4G RAM+64G ROM 13MP 8MP Camera 5000mAh Battery Android OS 4G Smartphone,100,1,64.0,4.0,5000.0,13MP+8MP,21.0,5.5,5.0
453,Huawei,101835,136240,25,"Honor 8X Max 6GB+64GB 7.12"" Dual Camera Snapdragon 660 Octa Core Fingerprint Unlock Dual SIM 18W QC 5000mAh-Blue",100,2,64.0,6.0,5000.0,,21.0,7.12,5.0
454,Tecno,99900,130000,23,"Camon 11 PRO (CF8) 6.2-Inch Super FULLVIEW (6GB, 64GB ROM) Android 8.1 Oreo, (16MP + 5MP) + 24MP Dual SIM 4G LTE Face ID Smartphone",87,26,64.0,6.0,,16MP+5MP+24MP,45.0,6.2,4.5
455,Ulefone,150999,150999,0,"Power 3S 6.0"" 6350mAh Mobile Phone Android 7.1 4GB+64GB16MP 4 Camera  Face ID 4G Smartphone- Black",100,1,64.0,4.0,6350.0,16MP,16.0,6.0,5.0
456,Leagoo,29999,29999,0,"M9 5.5-Inch IPS (2GB,16GB ROM) Android 7.0 Nougat (8MP + 2MP) + (5MP + 2MP) 3G Smartphone - Gold",84,6,16.0,2.0,,8MP+2MP+5MP+2MP,17.0,5.5,4.5
457,LG,30900,48667,37,"LG Wine Smart LG H410 Korean Keyboard Quad Core 3.2"" 1GB RAM 4GB ROM 3.15MP 4G LTE Slider Smartphone(Wine Red)",100,1,4.0,1.0,,3.15MP,18.0,3.2,5.0
458,Asus,47990,83999,43,Zenfone 4 Max Plus X015D Smartphone 5.5 Inch MT6750 5000mAh Battery -Black,100,1,32.0,4.0,5000.0,,21.0,5.5,5.0
459,Oukitel,53120,69056,23,K7 Pro 6-inch 4GB RAM 64GB ROM 10000mAh Battery Android 9.0 - BLACK,100,1,64.0,4.0,10000.0,,21.0,6.0,5.0
460,Samsung,301000,301000,0,"Galaxy S9 Plus (S9+) 6.2-Inch QHD (6GB, 64GB ROM) Android 8.0 Oreo, 12MP + 8MP Dual SIM 4G Smartphone - Lilac Purple ",89,15,64.0,6.0,,12MP+8MP,20.0,6.2,4.5
461,Gionee,48000,210000,77,"M7 Power (4GB, 64GB ROM) 5000mAh, 13MP+8MP, Android 7.1.1, Dual Sim 4G LTE - Black",80,1,64.0,4.0,5000.0,13MP+8MP,21.0,6.0,4.0
462,Blackview,44400,63429,30,"BV5500 Pro Rugged Phone, 3GB+16GB, 5.5 Inch Android 9.0 4G Smartphone - Yellow",20,1,16.0,3.0,,,21.0,5.5,1.0
463,Honor,48000,48000,0,7 Play 5.45 Inch HD 2GB+16GB Android 8.1 Dual Sim 13MP + 5MP 4G LTE Smartphone - Blue,95,4,16.0,2.0,,13MP+5MP,18.0,5.45,5.0
464,Blackberry,92900,120000,23,Priv 5.4inch Cellphone 3GB RAM 32GB ROM 4G Lte Mobile Phone,100,1,32.0,3.0,,,21.0,5.4,5.0
465,Letv,26970,38574,30,"Le 2 X526 4G 5.5"" 3GB RAM + 32GB ROM Android 6.0 3000mAh Battery - Gold",90,2,32.0,3.0,3000.0,,21.0,5.5,4.5
466,XIAOMI,42480,55224,23,Mi A1 4G 5.5 Inch Android One 4GB RAM 32GB ROM 3080mAh Battery-Black,80,1,32.0,4.0,3080.0,,21.0,5.5,4.0
467,Oppo,36500,85000,57,OPPO A57 5.2 Inch 3GB 32GB (Expandable Up To 256GB) Android 6.0 Qualcomm Octa- Pink,100,1,32.0,3.0,,,21.0,5.2,5.0
468,Samsung,225000,225000,0,"Galaxy Note 10 Lite  6.7-Inch (6GB RAM, 128GB ROM), Dual SIM 4500 MAh Smartphone - Aura Black",100,2,128.0,6.0,4500.0,,21.0,6.7,5.0
469,Blackview,44280,63257,30,"BV5500 Pro Rugged Phone 3GB+16GB 4400mAh Battery 5.5"" Android 9.0 Smartphone - Yellow",80,1,16.0,3.0,4400.0,,21.0,5.5,4.0
470,Nokia,129000,129000,0,"7.2, 6.3-Inch LCD (6GB RAM, 128GB ROM) Android 9 Pie (48MP + 8MP + 5MP)+20MP, Dual SIM 4G Smartphone - GREEN",100,1,128.0,6.0,,48MP+8MP+5MP+20MP,81.0,6.3,5.0
471,Nokia,129000,129000,0,"7.2, 6.3-Inch LCD (6GB RAM, 128GB ROM) Android 9 Pie, (48MP + 8MP + 5MP)+20MP, Dual SIM 4G Smartphone - Charcoal",80,1,128.0,6.0,,48MP+8MP+5MP+20MP,81.0,6.3,4.0
472,Infinix,39500,45000,12,"Smart 4, 6.6-Inch HD+, (1GB,16GB ROM) Android 9.0 Pie, 5MP + 8MP, Dual SIM, 4000mAh 4G Smartphone - Cosmic Purple",100,1,16.0,1.0,4000.0,5MP+8MP,13.0,6.6,5.0
473,Nokia,129000,129000,0,"7.2, 6.3-Inch LCD (6GB RAM, 128GB ROM) Android 9 Pie(48MP + 8MP + 5MP)+20MP, Dual SIM 4G Smartphone - ICE",100,1,128.0,6.0,,48MP+8MP+5MP+20MP,81.0,6.3,5.0
474,Infinix,49500,59000,16,"Infinix Hot 8 (X650B) ,6.6"" ,32GB ROM, 2GB RAM , 4G , Andriod 9 Pie , 5000mAh ,(13MP+2MP)+ 8MP Selifie - Midnight Black.",60,2,32.0,2.0,5000.0,13MP+2MP+8MP,23.0,6.6,3.0
475,Tecno,59990,59990,0,"Pouvoir 2 Pro (la7pro), Phantom Black, 32+3gb, 5000mah, 6.0 Hd""",100,1,32.0,3.0,5000.0,,21.0,6.0,5.0
476,Itel,19990,19990,0,"A14 4"" Screen, Android 8.1(GO Edition), 512MB RAM, 8GB ROM  + Free Cover & Bluetooth Earphone",100,1,32.0,8.0,,,21.0,4.0,5.0
477,Tecno,57490,71000,19,"Camon 12 (CC7) - 6.52"" HD+ (4GB RAM + 64GB ROM) AI Triple Rear Camera, 4000mAh, 4G, Fingerprint & Face ID - Jade.",100,1,64.0,4.0,4000.0,,21.0,6.52,5.0
478,Tecno,49990,49990,0,"Spark 4 (KC8) 6.52"" HD+ - (32GB ROM + 2GB RAM), 13MP Triple AI Camera + FREE GIFTS ATTACHED - Purple",95,28,32.0,2.0,,13MP,13.0,6.52,5.0
479,Gionee,65500,65500,0,"S8s Gold - 5.86' 32GB ROM, 3GB RAM, 13MP Camera, 4G LTE Smartphone With 15 Months Warranty",84,33,32.0,3.0,,13MP,13.0,5.86,4.5
480,Hoot,16200,32400,50,5.72'' M10 Plus Android 5.1 4G Cell Phone Smartphone 1GB+ 4GB Quad Core Dual SIM,20,1,4.0,1.0,,,21.0,5.72,1.0
481,Infinix,66900,75000,11,"HOT 8 6.52"" HD+ (64GB ROM,4GB RAM) (13MP + 2MP + QVGA) + 8MP Front Camera 5000mAh-Quetzal Cyan",80,1,64.0,4.0,5000.0,13MP+2MP+8MP,23.0,6.52,4.0
482,Itel,16000,17000,6,"A14 Max(W4003)- 4.0""- Android 8.1- 16GB ROM + 512MB RAM, 3000mAh Battery, Spotlight Torch, Drop Resistant - YELLOW",80,4,16.0,4.0,3000.0,,21.0,4.0,4.0
483,Cubot,47540,95080,50,P7 5inch MTK6582M 1.0GHz Quad-core Smartphone,20,1,32.0,4.0,,,21.0,5.0,1.0
484,Nokia,130000,130000,0,"8 5.3-Inch (4GB,64GB ROM) Dual 13MP + 13MP, Android 7.1 Nougat Dual SIM 4G Smartphone - BLUE",86,41,64.0,4.0,,13MP+13MP,26.0,5.3,4.5
485,Itel,30000,31000,3,"S15 6.088"" HD+, 1GB RAM + 16GB ROM, 16MP AI Front Camera, Android 9, Face ID & Fingerprint, 3000mAh - Gradation Red",100,1,16.0,1.0,3000.0,16MP,16.0,6.09,5.0
486,Samsung,399000,399000,0,"Galaxy S8 Plus (S8+) 6.2-Inch QHD (4GB,64GB ROM) Android 7.0 Nougat, 12MP + 8MP LTE Smartphone - Maple Gold",91,84,64.0,4.0,,12MP+8MP,20.0,6.2,5.0
487,Gionee,89999,89999,0,"M6 (GN8003) 5.5-Inch HD (4GB,64GB ROM) Android 6.0 Marshmallow, 13MP + 8MP Dual SIM 4G Smartphone - Gold",57,11,64.0,4.0,,13MP+8MP,21.0,5.5,3.0
488,Sailf,14399,27599,48,New Android Smartphone Face Recognition 5.0 Inch Dual Card 512M+4GB,76,5,32.0,4.0,,,21.0,5.0,4.0
489,Huawei,39999,39999,0,"Y5 Lite 5.45-Inch HD+ (1GB, 16GB ROM) Android 8.1 Oreo Go, 8MP + 5MP Dual SIM 4G Smartphone - Blue",85,5,16.0,1.0,,8MP+5MP,13.0,5.45,4.5
490,Samsung,240000,240000,0,"Galaxy Note 9 6.4-Inch (6GB RAM, 128GB ROM) Android 8.1 (12MP + 12MP) Dual SIM LTE - Metallic Copper",100,1,128.0,6.0,,12MP+12MP,24.0,6.4,5.0
491,Tecno,37800,37800,0,"Pouvoir 3 Air  6.0"" 5000mAh, Android™ 9.0, 16GB+ 1GB RAM, 4G LTE, 8+8MP Camera, 2.0GHz Face ID, Fingerprint - Black",85,516,16.0,1.0,5000.0,8MP,8.0,6.0,4.5
492,Tecno,37500,37500,0,"F1, 5.0 Inch, 1GBRAM + 8GB ROM, Battery 2000Mah Removable, Andriod 8.1(Go Edition), Champagne Gold.",84,350,8.0,1.0,2000.0,,21.0,5.0,4.5
493,Samsung,350000,450000,22,"Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) Android 9.0 Pie, (12MP + 12MP + 16MP)+(10MP+8MP) Dual SIM 4G Smartphone - Prism White",95,14,128.0,8.0,,12MP+12MP+16MP+10MP+8MP,58.0,6.4,5.0
494,Tecno,62000,62000,0,Camon 12  4GB RAM 64GB ROM Android 9 Pie Sky Cyan,94,3,64.0,4.0,,,21.0,6.0,5.0
495,Infinix,85000,100000,15,"Note 6 (X610B) 6.01"" AMOLED (4GB RAM, 64GB ROM) Android 9 Pie,(16MP+8MP+2MP) Triple +16MP 4000mAh 4G LTE Smartphone",89,5,64.0,4.0,4000.0,16MP+8MP+2MP+16MP,42.0,6.01,4.5
496,Tecno,140000,140000,0,"Spark Youth (KA6) 6.0""- (1GB RAM 16GB ROM),8MP+8MP, 3G, Fingerprint, Face Unlock Smartphone-Midnight Black",86,107,16.0,1.0,,8MP+8MP,16.0,6.0,4.5
497,Huawei,95899,128280,25,"Y Max 4GB+128G 7.12"" 16MP+2MP AI Dual Camera Snapdragon 660 Octa Core Fingerprint Unlock Dual SIM 5000mAh-Brown",88,8,128.0,4.0,5000.0,16MP+2MP,18.0,7.12,4.5
498,XIAOMI,189999,189999,0,"New Xiaomi Redmi Note 7 Pro  6.3""（6GB +128GB）MIUI 10（48+13MP）4000mAh  Smartphone - GOLD",100,1,128.0,6.0,4000.0,13MP,13.0,6.3,5.0
499,Tecno,44500,48000,7,"Spark 4 (KC8) 6.52"" HD+ Dot Notch, 2GB RAM+32GB ROM, Android 9 Pie, 13MP+8MP, 4000mah, 4G Smart Phone- Vocation Blue",74,3,32.0,2.0,4000.0,13MP+8MP,21.0,6.52,4.0
500,XIAOMI,63490,121500,48,"Redmi Note8, 4G, 6.3 Inch (4GB RAM + 64GB ROM) MIUI 10, Four Rear Caremas - BLUE",100,1,64.0,4.0,,,21.0,6.3,5.0
501,Cubot,71999,79999,10,X20 Pro 4G Phablet 6.3 Inch Android 9.0 6GB RAM 128GB ROM 4000mAh Battery-Ocean Blue,80,1,128.0,6.0,4000.0,,21.0,6.3,4.0
502,Nomu,32999,45999,28,"S30 Mini 4G 4.7""inch(3GB RAM 32GB ROM) Android 7.0  8.0MP Rear Camera 3000mAh Battery - Silver",77,6,32.0,3.0,3000.0,8.0MP,8.0,4.7,4.0
503,XIAOMI,63760,121500,48,"Redmi Note8, 4G, 6.3"", 4GB RAM + 64GB ROM, MIUI 10, Four Rear Caremas - White",100,1,64.0,4.0,,,21.0,6.3,5.0
504,XIAOMI,63760,121500,48,"Redmi Note8, 4G, 6.3 Inch (4GB RAM + 64GB ROM) MIUI 10, Four Rear Caremas - White",100,1,64.0,4.0,,,21.0,6.3,5.0
505,Itel,23000,23000,0,"A33 5.0"" Screen, Android 8.1, 16GB ROM + 1GB ROM, 2PCS 2200mAh Battery, Fingerprint, 5+2MP Camera - Blue + FREE CASE",85,212,16.0,1.0,2200.0,2MP,2.0,5.0,4.5
506,Itel,20499,25000,18,"A16plus - 5.0""Screen 8GB ROM-1GB RAM, Android 8.1(GO Edition) 2050maAh 5.0MP AF Camera - Phantom Black",100,1,8.0,1.0,,5.0MP,5.0,5.0,5.0
507,Itel,29490,30000,2,"P33 Plus 6.0"" Android 8.1  (16GB+1GB RAM,) Dual Rear Camera - Gradation Blue +FREE CASE",88,233,16.0,1.0,,,21.0,6.0,4.5
